State,Year,Data.Totals.Violent.All
Louisiana,2004,28844
Louisiana,2005,26889
Louisiana,2006,30923
Louisiana,2007,31789
Louisiana,2008,29613
Louisiana,2009,28878
Louisiana,2010,25241
Louisiana,2011,25373
Louisiana,2012,22868
Louisiana,2013,23984
Louisiana,2014,23934
Louisiana,2015,25208
Louisiana,2016,26502
Louisiana,2017,26092
Louisiana,2018,25049
Louisiana,2019,25537
Maine,1960,289
Maine,1961,334
Maine,1962,277
Maine,1963,306
Maine,1964,506
Maine,1965,437
Maine,1966,486
Maine,1967,621
Maine,1968,633
Maine,1969,733
Maine,1970,887
Maine,1971,903
Maine,1972,1143
Maine,1973,1258
Maine,1974,1440
Maine,1975,2324
Maine,1976,2354
Maine,1977,2438
Maine,1978,2266
Maine,1979,2221
Maine,1980,2173
Maine,1981,2214
Maine,1982,1847
Maine,1983,1829
Maine,1984,1832
Maine,1985,1950
Maine,1986,1726
Maine,1987,1806
Maine,1988,1898
Maine,1989,1676
Maine,1990,1759
Maine,1991,1631
Maine,1992,1616
Maine,1993,1558
Maine,1994,1611
Maine,1995,1631
Maine,1996,1553
Maine,1997,1500
Maine,1998,1566
Maine,1999,1404
Maine,2000,1397
Maine,2001,1435
Maine,2002,1396
Maine,2003,1422
Maine,2004,1364
Maine,2005,1483
Maine,2006,1533
Maine,2007,1565
Maine,2008,1572
Maine,2009,1580
Maine,2010,1621
Maine,2011,1638
Maine,2012,1631
Maine,2013,1718
Maine,2014,1700
Maine,2015,1729
Maine,2016,1648
Maine,2017,1617
Maine,2018,1501
Maine,2019,1548
Maryland,1960,4691
Maryland,1961,4959
Maryland,1962,4915
Maryland,1963,5283
Maryland,1964,7446
Maryland,1965,10032
Maryland,1966,11236
Maryland,1967,17458
Maryland,1968,23405
Maryland,1969,24295
Maryland,1970,24512
Maryland,1971,24857
Maryland,1972,26412
Maryland,1973,26093
Maryland,1974,29439
Maryland,1975,29087
Maryland,1976,26249
Maryland,1977,28716
Maryland,1978,30328
Maryland,1979,33007
Maryland,1980,35735
Maryland,1981,37800
Maryland,1982,36254
Maryland,1983,34736
Maryland,1984,34455
Maryland,1985,36655
Maryland,1986,37177
Maryland,1987,34820
Maryland,1988,37466
Maryland,1989,40152
Maryland,1990,43940
Maryland,1991,46469
Maryland,1992,49085
Maryland,1993,49540
Maryland,1994,47457
Maryland,1995,49757
Maryland,1996,47230
Maryland,1997,43127
Maryland,1998,40903
Maryland,1999,38447
Maryland,2000,41663
Maryland,2001,42088
Maryland,2002,42015
Maryland,2003,38778
Maryland,2004,38961
Maryland,2005,39369
Maryland,2006,38111
Maryland,2007,36063
Maryland,2008,35393
Maryland,2009,33625
Maryland,2010,31607
Maryland,2011,28817
Maryland,2012,28055
Maryland,2013,28089
Maryland,2014,26661
Maryland,2015,27462
Maryland,2016,28400
Maryland,2017,30273
Maryland,2018,28320
Maryland,2019,27456
